quarter,revenue,year,company_code
Q3,16.15,2013,CMCSA
Q4,16.93,2013,CMCSA
Q1,17.41,2014,CMCSA
Q2,16.84,2014,CMCSA
Q3,16.79,2014,CMCSA
Q4,17.73,2014,CMCSA
Q1,17.85,2015,CMCSA
Q2,18.74,2015,CMCSA
Q3,18.67,2015,CMCSA
Q4,19.25,2015,CMCSA
Q1,18.79,2016,CMCSA
Q2,19.27,2016,CMCSA
Q3,21.32,2016,CMCSA
Q4,21.03,2016,CMCSA
Q1,20.59,2017,CMCSA
Q2,21.17,2017,CMCSA
Q3,20.98,2017,CMCSA
Q4,21.92,2017,CMCSA
Q1,22.79,2018,CMCSA
Q2,21.74,2018,CMCSA
Q3,22.14,2018,CMCSA
Q1,10.33,2009,CSCO
Q2,9.09,2009,CSCO
Q3,8.16,2009,CSCO
Q4,8.54,2009,CSCO
Q1,9.02,2010,CSCO
Q2,9.82,2010,CSCO
Q3,10.37,2010,CSCO
Q4,10.84,2010,CSCO
Q1,10.75,2011,CSCO
Q2,10.41,2011,CSCO
Q3,10.87,2011,CSCO
Q4,11.2,2011,CSCO
Q1,11.26,2012,CSCO
Q2,11.53,2012,CSCO
Q3,11.59,2012,CSCO
Q4,11.69,2012,CSCO
Q1,11.88,2013,CSCO
Q2,12.1,2013,CSCO
Q3,12.22,2013,CSCO
Q4,12.42,2013,CSCO
Q1,12.1,2014,CSCO
Q2,11.2,2014,CSCO
Q3,11.55,2014,CSCO
Q4,12.4,2014,CSCO
Q1,12.2,2015,CSCO
Q2,11.9,2015,CSCO
Q3,12.1,2015,CSCO
Q4,12.8,2015,CSCO
Q1,12.68,2016,CSCO
Q2,11.93,2016,CSCO
Q3,12,2016,CSCO
Q4,12.64,2016,CSCO
Q1,12.35,2017,CSCO
Q2,11.58,2017,CSCO
Q3,11.94,2017,CSCO
Q4,12.13,2017,CSCO
Q1,12.14,2018,CSCO
Q2,11.89,2018,CSCO
Q3,12.46,2018,CSCO
Q4,12.84,2018,CSCO
Q1,9.74,2010,DIS
Q2,8.58,2010,DIS
Q3,10,2010,DIS
Q4,9.74,2010,DIS
Q1,10.72,2011,DIS
Q2,9.08,2011,DIS
Q3,10.68,2011,DIS
Q4,10.43,2011,DIS
Q1,10.78,2012,DIS
Q2,9.63,2012,DIS
Q3,11.09,2012,DIS
Q4,10.78,2012,DIS
Q1,11.34,2013,DIS
Q2,10.55,2013,DIS
Q3,11.58,2013,DIS
Q4,11.57,2013,DIS
Q1,12.31,2014,DIS
Q2,11.65,2014,DIS
Q3,12.47,2014,DIS
Q4,12.39,2014,DIS
Q1,13.39,2015,DIS
